,min_value,max_value,std,mean,median,skew,kurtosis,labels
0,-121.55058,65.45534,24.580328,-2.2519085,-0.70416856,-2.2819091862811796,12.540224684764636,car_horn
1,-126.84716,115.87754,31.31276,-0.7693108,0.4458771,-0.4302979412741462,8.797350722517644,car_horn
2,-252.9698,167.19125,48.798847,-2.6477048,0.021330714,-2.326508660570005,17.988012180875472,car_horn
3,-132.8113,55.07116,26.491137,1.4299061,2.0260985,-2.9667837853120704,14.08464472231341,car_horn
4,-264.63226,40.243603,45.57829,-8.555743,-3.2263432,-4.335254459431699,22.04310542185667,car_horn
5,-201.52008,124.09544,38.46995,-3.637154,-2.5996475,-2.479540833034106,17.55306634187683,car_horn
6,-344.18637,144.96613,60.5588,-2.8242686,4.3822145,-4.102184881437845,23.133469702968547,car_horn
7,-351.3652,138.25436,60.168243,-8.65376,-3.5097475,-4.244797407880076,24.211981794871,car_horn
8,-198.86266,47.74736,37.059414,-0.68050396,6.496171,-3.729385183552458,17.66996127119523,car_horn
9,-192.8974,117.99334,40.89316,-0.7781061,0.09564379,-1.933867219288987,11.1101573850681,car_horn
10,-75.2048,101.488396,24.95952,-0.25856152,-0.5520456,0.7543202153589212,6.641867443891639,car_horn
11,-260.75882,151.97652,52.112583,-5.303245,0.5946015,-2.550940961311253,14.219073350620125,car_horn
12,-479.1814,123.33889,78.8821,-7.7359567,-1.4202538,-5.205508469414598,29.09898314134984,car_horn
13,-197.41542,114.81325,36.970734,-7.5910997,-3.8889163,-2.490424486537854,17.399545589085303,car_horn
14,-159.46382,41.78748,31.850487,-4.3420343,-2.3393114,-2.78982489532865,11.645417690587324,car_horn
15,-326.1965,124.57307,55.7566,-3.0638313,1.2041757,-4.5573107830794495,25.89234365651578,car_horn
16,-172.11046,150.18652,37.599453,0.6083806,2.2381077,-0.8905717632679325,14.45388154829012,car_horn
17,-230.51003,145.01404,44.41938,-1.9374037,3.0843513,-2.5174510056628563,17.550684904622695,car_horn
18,-172.46013,93.73337,34.5182,-0.73391086,2.5705366,-2.541301893291178,13.79539183484967,car_horn
19,-142.89114,72.77565,29.85312,-4.673335,-1.8370152,-2.436998757523921,10.797538367953244,car_horn
20,-165.42104,141.6548,37.464127,-1.6306007,0.3812312,-0.7583221247681545,11.684388421333171,car_horn
21,-201.93506,108.50733,38.88895,-10.000348,-4.24279,-2.327541710979374,14.096960124831401,car_horn
22,-117.006195,79.03243,24.224922,-2.5757184,-2.1488688,-1.6673492748691034,12.744159121160278,car_horn
23,-185.22159,130.62335,39.661068,0.680024,0.2575677,-1.6736274465996301,12.038419082302557,car_horn
24,-198.68236,143.22426,41.171608,-2.0324247,0.0019476712,-1.6447166330307714,13.97459283343452,car_horn
25,-187.52473,120.00395,36.719112,0.34264287,2.285047,-2.4839283663861877,16.993170253863486,car_horn
26,-151.6996,148.39032,36.27432,-0.970311,0.9453907,-0.10094149835649117,11.74048582668106,car_horn
27,-268.36896,106.240685,47.91819,-3.7479224,-1.4229875,-3.8763825100234794,20.97561020447279,car_horn
28,-296.24252,207.09108,62.524437,-6.044126,-2.5673647,-1.7263968727939105,12.557915949023931,car_horn
29,-214.02954,113.06643,39.376163,-4.0191126,-2.2373204,-3.129694853870736,19.196425685936983,car_horn
30,-293.10706,164.57867,56.55033,-6.2205424,-0.9579183,-2.760780755626819,16.026796061290582,car_horn
31,-205.79437,146.02672,42.466026,-0.95435447,3.554449,-1.8059154152717887,14.207207581198123,car_horn
32,-85.43954,113.5447,24.654877,1.2628146,-2.727759,1.345248458566461,11.70005776725779,car_horn
33,-147.93015,93.0556,31.414463,-0.57313335,0.8970982,-1.9908929987658703,11.327986104186468,car_horn
34,-170.2858,107.577126,35.026524,0.4834196,4.4189973,-2.212686053697712,13.415632829524625,car_horn
35,-148.19412,145.51256,35.711018,-4.0765886,-2.2076368,0.12143229780537691,11.598953811914386,car_horn
36,-286.91345,188.69958,60.761784,-6.683664,-1.6254942,-1.954877016594406,11.918878617972823,car_horn
37,-201.3298,145.53535,40.843708,-2.7934558,-1.8793083,-1.6862875845707788,15.35098390011282,car_horn
38,-186.722,158.0664,40.234447,0.09936895,0.0056287646,-0.9677961172898757,14.598563475536181,car_horn
39,-149.0642,146.10773,34.97651,-2.4206438,-1.2077692,0.050434984428352245,12.926290569758374,car_horn
40,-209.89555,82.162895,37.918076,-4.624632,-2.1201162,-3.554873858704838,19.37800754023878,car_horn
41,-191.81694,103.69409,37.193943,-2.3402674,-0.3927219,-2.641698644003698,15.698080872555987,car_horn
42,-153.48325,150.0568,35.43583,2.1587594,2.682628,-0.32654128947549177,13.945206688231174,car_horn
43,-295.36215,117.0017,52.115402,1.1435734,5.6449213,-4.2963293777890215,23.837639349300844,car_horn
44,-164.77406,137.35703,37.033512,-1.7720085,-0.028588422,-0.8726003920755253,11.593049765845388,car_horn
45,-68.86754,91.39312,22.542107,-0.015089512,0.44779253,1.0740164712425178,6.914939899846141,car_horn
46,-420.66388,43.335052,67.7983,-8.665864,-0.18104169,-5.572883599694474,31.11644402701794,car_horn
47,-285.48407,121.74046,51.909344,-1.5022482,5.779859,-3.7669487331833644,20.233546461809244,car_horn
48,-113.44456,131.31516,30.05304,1.4025401,-0.8563168,0.5502101050575469,11.320636134470297,car_horn
49,-91.87142,88.55103,25.859673,-1.9751148,0.9179022,-0.5556706768014322,6.139755657375629,car_horn
50,-165.22432,136.8588,37.19736,-1.5859243,-0.17219447,-0.898389873457998,11.38234839300609,car_horn
51,-77.511185,97.01156,25.02001,-0.30267978,-0.43578053,0.550400755288825,5.823831543766062,car_horn
52,-91.93954,103.406784,24.415443,3.0368001,1.5296004,0.31041315089287336,10.039563520524132,car_horn
53,-226.27461,110.283104,40.87753,-4.435991,-1.6162024,-3.4375214412730504,20.248472987109825,car_horn
54,-419.06772,97.247604,68.92998,-11.286135,-0.6870642,-5.06941650178797,27.785359436039663,car_horn
55,-276.07983,198.29651,60.33215,-6.998996,-4.432529,-1.5470796396002484,11.175681329499778,car_horn
56,-194.43379,149.30103,40.8679,-1.92456,0.7937477,-1.374664883592599,14.05295568283044,car_horn
57,-330.97678,119.5236,56.51173,-5.592721,-1.2605252,-4.492904065951499,25.08581942047151,car_horn
58,-329.82404,136.43825,57.868862,-4.931883,0.58727807,-4.053930104457949,22.739362811189537,car_horn
59,-141.3305,41.225254,26.173496,-4.7935305,-2.277378,-3.2653236441043005,16.061908711505062,car_horn
60,-466.47327,35.6894,73.85355,-14.63649,-3.852641,-5.700219294618106,32.03765979892194,car_horn
61,-119.03879,162.95554,32.853348,3.6639633,1.3632461,1.5500004852175633,15.695203758563824,car_horn
62,-86.464485,112.8515,24.830166,2.0130925,0.32399514,1.163484151258699,11.138514613059396,car_horn
63,-193.33174,116.43917,40.920425,-1.1696653,-2.6380548,-1.9468143073223985,11.012206587972498,car_horn
64,-157.69357,147.20923,37.34308,-4.5760574,-3.9497988,-0.06867501210126072,11.173272288402218,car_horn
65,-345.06885,126.78658,59.308884,-5.4012794,1.6848156,-4.421039153958439,24.533556373537536,car_horn
66,-316.26965,194.09412,64.96463,-7.9606757,-2.2208488,-2.2556760690665816,12.892935552302777,car_horn
67,-197.9719,142.51225,39.755516,0.22892809,1.8933307,-1.9401127618871497,16.563778219735422,car_horn
68,-143.60796,138.38615,34.855053,-1.2794182,0.4355631,-0.16482327802107433,10.664360442709574,car_horn
69,-165.4166,128.83801,36.36268,-1.4432449,2.257526,-1.2296348976149796,11.647844600755034,car_horn
70,-183.27132,149.05331,39.765728,-1.3427813,1.9376513,-1.0980173668952746,13.166948518742075,car_horn
71,-101.22554,138.56451,30.922848,0.31865594,-1.1672847,1.482475305531089,10.451816487326212,car_horn
72,-84.45537,126.01845,29.175144,-2.569982,-4.4048247,1.5308455103505807,8.930524842152922,car_horn
73,-108.74638,102.18188,28.243937,-2.7959843,0.40291446,-0.3488817932151459,7.341512596892521,car_horn
74,-160.67511,45.22195,31.995615,-4.1091356,-2.4676807,-2.811103991018145,11.890780738308063,car_horn
75,-357.7548,237.27495,68.67088,-1.1089611,3.403227,-2.459815146771103,18.824349520560173,car_horn
76,-363.38043,114.43331,61.162445,-6.753123,-0.55015624,-4.745631989077542,26.301356800857224,car_horn
77,-296.60663,147.4317,53.64944,-2.9390507,1.5288355,-3.555760272597326,21.00521441741307,car_horn
78,-177.45656,129.80482,36.487965,-3.734092,-1.9331115,-1.4625450374260855,14.399129287994576,car_horn
79,-224.72241,102.38845,40.94236,-1.4372787,-0.42839068,-3.6254567484614535,20.194380755142053,car_horn
80,-136.24365,45.96356,26.13561,1.1057118,2.0138783,-3.4224937071199895,16.440596795081117,car_horn
81,-130.33356,135.84717,31.788116,3.175543,2.0532966,-0.033795704430120616,12.486965335571002,car_horn
82,-495.02783,101.01214,79.88469,-11.706864,-2.9692955,-5.456239084320074,30.603108916056833,car_horn
83,-158.37341,135.68335,36.294003,-1.1279917,2.8265042,-0.794521521798895,11.065778126697262,car_horn
84,-226.35347,158.83983,45.966053,-0.6391572,1.6617966,-1.9667652369564987,15.247864836554164,car_horn
85,-164.73897,89.65304,35.30206,-1.4914464,2.2142997,-2.059740871270297,9.795711453714977,car_horn
86,-212.02072,142.53096,42.45458,-1.932333,-0.37538022,-2.0393739587784103,15.414472435506617,car_horn
87,-352.402,109.21453,59.220963,-5.11746,1.3269538,-4.847740935415417,26.929693788654195,car_horn
88,-304.84702,112.69567,52.34407,-5.418639,0.5860255,-4.386993810025016,24.44012715456133,car_horn
89,-283.33383,54.430317,46.866352,-4.979982,-0.19239664,-5.149653436100243,28.216509110966584,car_horn
